N;K;peaks;maxValue;minValue
7;2;4;0.713322;0.196751
7;2;4;0.809483;0.214301
7;2;7;0.758749;0.330914
7;2;8;0.821161;0.225069
7;2;6;0.712717;0.295924
7;2;4;0.763757;0.253685
7;2;3;0.700235;0.24359
7;2;2;0.81265;0.259381
7;2;5;0.799787;0.221199
7;2;7;0.68224;0.20344
7;2;5;0.710205;0.259164
7;2;5;0.707051;0.320138
7;2;1;0.698477;0.187001
7;2;6;0.795301;0.132805
7;2;4;0.729362;0.241637
7;2;3;0.795534;0.322422
7;2;3;0.729754;0.178474
7;2;3;0.864045;0.201115
7;2;4;0.794441;0.204262
7;2;5;0.707319;0.273728
7;2;5;0.679612;0.274639
7;2;4;0.761219;0.265128
7;2;5;0.871121;0.189581
7;2;2;0.754496;0.240532
7;2;5;0.686437;0.23771
7;2;7;0.656983;0.264549
7;2;3;0.691197;0.179577
7;2;3;0.778871;0.291284
7;2;2;0.84477;0.309982
7;2;4;0.763836;0.250173
7;2;5;0.757437;0.160992
7;2;7;0.792549;0.234379
7;2;4;0.799083;0.31699
7;2;5;0.728621;0.299356
7;2;3;0.737588;0.279908
7;2;3;0.737162;0.302979
7;2;7;0.730256;0.16455
7;2;5;0.718169;0.24916
7;2;4;0.660324;0.319195
7;2;3;0.753843;0.254522
7;2;4;0.683599;0.188276
7;2;4;0.770166;0.20141
7;2;3;0.795167;0.237046
7;2;5;0.785175;0.200479
7;2;2;0.647041;0.19127
7;2;4;0.800091;0.182277
7;2;3;0.849798;0.29011
7;2;5;0.684367;0.229988
7;2;7;0.700765;0.23458
7;2;3;0.721963;0.280935
7;2;6;0.750314;0.26017
7;2;4;0.72857;0.298879
7;2;3;0.785219;0.302634
7;2;5;0.84705;0.392793
7;2;3;0.748247;0.137094
7;2;5;0.709261;0.220114
7;2;3;0.819371;0.30938
7;2;3;0.741965;0.296909
7;2;4;0.63548;0.272827
7;2;3;0.854668;0.309839
7;2;7;0.63599;0.206128
7;2;6;0.700206;0.329545
7;2;5;0.729982;0.353021
7;2;5;0.699866;0.267517
7;2;5;0.652985;0.211027
7;2;4;0.788285;0.359927
7;2;5;0.778424;0.30013
7;2;4;0.717966;0.253459
7;2;5;0.656596;0.320192
7;2;4;0.686038;0.229569
7;2;5;0.747761;0.306821
7;2;2;0.808462;0.332663
7;2;3;0.852293;0.232207
7;2;3;0.740198;0.268472
7;2;6;0.736314;0.194578
7;2;4;0.772304;0.310095
7;2;3;0.835046;0.215052
7;2;2;0.767093;0.218762
7;2;4;0.724015;0.275955
7;2;2;0.826919;0.271035
7;2;5;0.746451;0.244982
7;2;3;0.744573;0.106775
7;2;4;0.816579;0.32297
7;2;3;0.801168;0.280832
7;2;5;0.766297;0.319385
7;2;5;0.745199;0.314794
7;2;2;0.774687;0.26722
7;2;4;0.813372;0.224423
7;2;5;0.79339;0.262992
7;2;1;0.868163;0.227835
7;2;4;0.690718;0.270479
7;2;3;0.803158;0.193932
7;2;5;0.768683;0.24997
7;2;6;0.769021;0.287915
7;2;3;0.771028;0.328458
7;2;2;0.722892;0.188743
7;2;3;0.826688;0.275768
7;2;5;0.711634;0.245736
7;2;4;0.73261;0.328647
7;2;1;0.738626;0.121932
7;2;5;0.837115;0.260247
7;2;2;0.780372;0.325299
7;2;3;0.672624;0.338189
7;2;3;0.778392;0.144421
7;2;4;0.775743;0.191898
7;2;5;0.79391;0.307348
7;2;7;0.742731;0.1815
7;2;3;0.803148;0.268676
7;2;3;0.737898;0.214506
7;2;8;0.668948;0.217696
7;2;4;0.596472;0.310416
7;2;4;0.734663;0.216523
7;2;5;0.696244;0.305412
7;2;4;0.717214;0.241111
7;2;4;0.761927;0.331655
7;2;6;0.651391;0.289543
7;2;5;0.76095;0.242064
7;2;4;0.714589;0.315601
7;2;5;0.704908;0.232314
7;2;3;0.774167;0.237611
7;2;4;0.765214;0.18102
7;2;4;0.710849;0.26974
7;2;4;0.792416;0.31998
7;2;5;0.770131;0.256415
7;2;3;0.709985;0.273582
7;2;3;0.76542;0.190751
