N;K;peaks;maxValue;minValue
7;5;13;0.786196;0.261575
7;5;13;0.774819;0.257309
7;5;11;0.781969;0.222788
7;5;9;0.786909;0.236054
7;5;13;0.736909;0.270999
7;5;12;0.77363;0.164816
7;5;10;0.7848;0.238314
7;5;11;0.858301;0.189382
7;5;14;0.82565;0.182209
7;5;10;0.734982;0.166703
7;5;15;0.793452;0.157174
7;5;14;0.73158;0.170019
7;5;15;0.758282;0.25904
7;5;12;0.826593;0.159838
7;5;9;0.765088;0.240762
7;5;12;0.732568;0.232352
7;5;14;0.724661;0.160755
7;5;11;0.759128;0.187682
7;5;10;0.795743;0.248262
7;5;15;0.77131;0.221499
7;5;15;0.752004;0.234044
7;5;11;0.764889;0.213226
7;5;12;0.80121;0.2269
7;5;15;0.740091;0.229901
7;5;13;0.756191;0.250884
7;5;13;0.767433;0.234703
7;5;13;0.749853;0.237132
7;5;13;0.837719;0.226313
7;5;12;0.750612;0.223013
7;5;13;0.764105;0.212138
7;5;15;0.738399;0.260753
7;5;12;0.827025;0.222426
7;5;16;0.824339;0.279334
7;5;13;0.713463;0.175741
7;5;7;0.744518;0.277072
7;5;12;0.772797;0.122721
7;5;15;0.700936;0.260412
7;5;12;0.780406;0.278255
7;5;12;0.722073;0.163308
7;5;12;0.811615;0.278403
7;5;11;0.754084;0.230703
7;5;11;0.671814;0.207136
7;5;13;0.811248;0.243909
7;5;11;0.810008;0.238791
7;5;16;0.75346;0.2585
7;5;10;0.816065;0.177479
7;5;15;0.782788;0.218706
7;5;15;0.74591;0.240565
7;5;6;0.905735;0.2708
7;5;13;0.75656;0.217851
7;5;14;0.876455;0.218712
7;5;12;0.812453;0.271296
7;5;11;0.787058;0.291046
7;5;11;0.879599;0.245072
7;5;13;0.810256;0.245778
7;5;11;0.77012;0.240567
7;5;9;0.809064;0.0680828
7;5;11;0.784459;0.211535
7;5;13;0.822656;0.233592
7;5;12;0.78275;0.264772
7;5;11;0.817625;0.233849
7;5;12;0.777596;0.218767
7;5;12;0.885041;0.131613
7;5;12;0.759742;0.216861
7;5;13;0.747539;0.280555
7;5;14;0.798431;0.276868
7;5;12;0.721195;0.314902
7;5;11;0.792296;0.260608
7;5;12;0.735866;0.238185
7;5;16;0.775377;0.245868
7;5;14;0.720585;0.234801
7;5;11;0.735422;0.194828
7;5;9;0.779929;0.2222
7;5;14;0.781003;0.23595
7;5;15;0.793041;0.208685
7;5;12;0.805316;0.229082
7;5;13;0.760193;0.216875
7;5;14;0.706739;0.217691
7;5;13;0.810629;0.194388
7;5;9;0.792648;0.217433
7;5;13;0.780116;0.229458
7;5;15;0.798546;0.114526
7;5;15;0.747769;0.273726
7;5;11;0.772036;0.217694
7;5;13;0.778821;0.217598
7;5;14;0.781478;0.17647
7;5;13;0.795924;0.236627
7;5;13;0.865843;0.214223
7;5;16;0.771841;0.231149
7;5;13;0.768589;0.235817
7;5;10;0.71042;0.252439
7;5;12;0.758264;0.278966
7;5;14;0.709808;0.170606
7;5;14;0.801546;0.237528
