N;K;peaks;maxValue;minValue
7;6;17;0.721084;0.228173
7;6;16;0.738622;0.199532
7;6;20;0.75527;0.230292
7;6;15;0.768156;0.188811
7;6;12;0.812288;0.283466
7;6;13;0.693851;0.145621
7;6;18;0.779836;0.228871
7;6;16;0.726524;0.247492
7;6;16;0.772541;0.17896
7;6;15;0.731083;0.267381
7;6;14;0.702242;0.141088
7;6;17;0.773296;0.197343
7;6;15;0.859082;0.246173
7;6;11;0.779157;0.259795
7;6;19;0.743139;0.24415
7;6;14;0.765867;0.210034
7;6;16;0.71591;0.130337
7;6;14;0.755622;0.196051
7;6;16;0.782819;0.262724
7;6;17;0.796844;0.237545
7;6;22;0.754055;0.215619
7;6;14;0.847688;0.168532
7;6;18;0.82463;0.234527
7;6;25;0.691391;0.255244
7;6;13;0.77903;0.218505
7;6;19;0.780209;0.234442
7;6;13;0.804394;0.189702
7;6;17;0.814849;0.252018
7;6;17;0.778572;0.260976
7;6;16;0.803914;0.255706
7;6;14;0.69866;0.233522
7;6;19;0.7574;0.22527
7;6;20;0.741568;0.140196
7;6;15;0.771388;0.204084
7;6;19;0.776258;0.254266
7;6;15;0.730132;0.260501
7;6;21;0.769961;0.240952
7;6;15;0.75433;0.231438
7;6;15;0.776813;0.260188
7;6;16;0.819394;0.222211
7;6;17;0.739286;0.259668
7;6;16;0.730766;0.263277
7;6;15;0.761746;0.248342
7;6;20;0.749224;0.223321
7;6;13;0.753706;0.261231
7;6;15;0.771159;0.194406
7;6;14;0.790553;0.23384
7;6;18;0.749738;0.28581
7;6;18;0.80284;0.143468
7;6;16;0.797832;0.245152
7;6;17;0.732057;0.204416
7;6;16;0.729343;0.206012
7;6;15;0.774884;0.119121
7;6;15;0.719016;0.213655
7;6;15;0.745095;0.230605
7;6;19;0.819986;0.249963
7;6;16;0.789787;0.22346
7;6;19;0.727879;0.203506
7;6;15;0.805835;0.254812
7;6;14;0.801876;0.250215
7;6;14;0.836704;0.212015
7;6;19;0.740862;0.272389
7;6;16;0.735638;0.211915
7;6;21;0.753004;0.272962
7;6;15;0.804202;0.236862
7;6;18;0.789848;0.271558
7;6;15;0.782928;0.127462
7;6;9;0.849007;0.279284
7;6;16;0.853711;0.28258
7;6;13;0.703916;0.208611
7;6;16;0.74251;0.222583
7;6;12;0.77578;0.278272
7;6;18;0.736537;0.145264
7;6;16;0.69014;0.169259
7;6;19;0.762354;0.197309
7;6;15;0.734501;0.203507
7;6;17;0.778778;0.243283
7;6;15;0.71975;0.207252
7;6;12;0.728521;0.219535
7;6;15;0.801117;0.271504
7;6;16;0.751549;0.195533
7;6;13;0.73003;0.24417
7;6;17;0.778634;0.261938
7;6;17;0.753406;0.229233
7;6;16;0.722692;0.219563
7;6;13;0.829386;0.257057
7;6;21;0.748453;0.126396
7;6;14;0.761392;0.210208
7;6;19;0.72514;0.254179
7;6;15;0.734509;0.194619
7;6;18;0.764898;0.221321
7;6;17;0.751393;0.191305
7;6;18;0.819237;0.229668
7;6;15;0.775011;0.206004
7;6;14;0.77437;0.216421
7;6;13;0.833542;0.278748
7;6;15;0.749677;0.24679
