N;K;peaks;maxValue;minValue
7;3;6;0.767348;0.271848
7;3;9;0.761321;0.27129
7;3;8;0.682673;0.17432
7;3;8;0.778825;0.343454
7;3;6;0.730111;0.245432
7;3;7;0.72548;0.243115
7;3;7;0.765288;0.192407
7;3;5;0.761085;0.108152
7;3;8;0.685158;0.18201
7;3;6;0.749481;0.19135
7;3;7;0.78994;0.215645
7;3;6;0.764182;0.314961
7;3;8;0.711938;0.278088
7;3;5;0.764764;0.295855
7;3;7;0.732341;0.264644
7;3;6;0.746665;0.301396
7;3;4;0.723054;0.256228
7;3;9;0.741018;0.274538
7;3;6;0.760793;0.206775
7;3;7;0.798272;0.344298
7;3;9;0.811207;0.239297
7;3;7;0.708467;0.258722
7;3;11;0.658338;0.181151
7;3;10;0.751003;0.206249
7;3;6;0.850058;0.270509
7;3;3;0.800487;0.30289
7;3;6;0.655711;0.236624
7;3;6;0.773464;0.332301
7;3;7;0.778695;0.218204
7;3;6;0.670549;0.270754
7;3;7;0.772965;0.315786
7;3;7;0.737285;0.201465
7;3;10;0.704273;0.230371
7;3;9;0.77724;0.293384
7;3;7;0.827619;0.28998
7;3;9;0.838307;0.248375
7;3;7;0.719842;0.324584
7;3;7;0.688995;0.259718
7;3;8;0.785487;0.228669
7;3;8;0.79186;0.281977
7;3;7;0.712228;0.188701
7;3;5;0.802888;0.293084
7;3;6;0.732873;0.186611
7;3;3;0.717834;0.208889
7;3;11;0.743843;0.259486
7;3;8;0.748043;0.315157
7;3;4;0.778075;0.166958
7;3;3;0.757233;0.264429
7;3;6;0.732229;0.216153
7;3;4;0.78627;0.203854
7;3;8;0.803612;0.269129
7;3;8;0.799717;0.22945
7;3;6;0.801339;0.267579
7;3;7;0.796637;0.180998
7;3;3;0.763997;0.310393
7;3;8;0.732373;0.289087
7;3;6;0.750128;0.248767
7;3;6;0.890947;0.297832
7;3;5;0.826571;0.26439
7;3;10;0.797654;0.26506
7;3;4;0.728568;0.285163
7;3;3;0.718465;0.120637
7;3;4;0.726995;0.282171
7;3;7;0.738895;0.162037
7;3;9;0.691434;0.217989
7;3;6;0.718112;0.197561
7;3;2;0.81455;0.191201
7;3;6;0.799989;0.191659
7;3;5;0.718435;0.291242
7;3;7;0.705682;0.139377
7;3;6;0.759752;0.303398
7;3;12;0.731881;0.275843
7;3;5;0.737067;0.236268
7;3;8;0.750338;0.242647
7;3;5;0.792265;0.189433
7;3;5;0.752819;0.247653
7;3;7;0.714034;0.26141
7;3;6;0.759707;0.187523
7;3;5;0.827264;0.201074
7;3;4;0.733779;0.185807
7;3;7;0.759611;0.278208
7;3;7;0.740685;0.224163
7;3;6;0.776641;0.249883
7;3;8;0.684275;0.238665
7;3;7;0.697139;0.310045
7;3;5;0.847102;0.230713
7;3;8;0.823279;0.288422
7;3;7;0.746324;0.27917
7;3;4;0.687098;0.178516
7;3;10;0.772971;0.277839
7;3;5;0.856302;0.252784
7;3;5;0.760791;0.301947
7;3;7;0.744466;0.253032
7;3;5;0.759217;0.274639
7;3;6;0.72306;0.224474
7;3;7;0.793074;0.212567
7;3;7;0.745749;0.275208
7;3;7;0.720223;0.153828
7;3;7;0.783097;0.291372
7;3;8;0.758536;0.284529
7;3;8;0.659579;0.253853
7;3;8;0.705729;0.283635
7;3;6;0.798558;0.216443
7;3;7;0.726632;0.224496
7;3;5;0.795995;0.290746
7;3;5;0.741729;0.222235
7;3;7;0.800405;0.20426
7;3;7;0.767813;0.254872
7;3;5;0.794225;0.22617
7;3;3;0.819102;0.272386
7;3;5;0.815906;0.163865
7;3;8;0.728591;0.303652
7;3;6;0.789706;0.27741
7;3;4;0.720982;0.191194
7;3;8;0.769002;0.265404
7;3;9;0.768574;0.217247
7;3;6;0.858539;0.311413
7;3;10;0.695194;0.198691
7;3;7;0.696681;0.233678
7;3;8;0.709475;0.278457
7;3;8;0.668837;0.202043
7;3;8;0.761141;0.216618
7;3;7;0.714745;0.279331
7;3;4;0.841786;0.31952
7;3;8;0.739765;0.229148
7;3;6;0.791333;0.303005
7;3;4;0.781374;0.245297
7;3;6;0.717808;0.234592
7;3;6;0.705738;0.25029
7;3;6;0.765192;0.206965
7;3;9;0.738623;0.23245
7;3;7;0.78604;0.209315
7;3;6;0.696695;0.241142
7;3;4;0.754412;0.125377
7;3;6;0.804965;0.236842
7;3;9;0.733285;0.262041
7;3;6;0.747114;0.205267
7;3;5;0.761662;0.237968
7;3;7;0.745338;0.260433
7;3;8;0.759146;0.241971
7;3;6;0.768233;0.144369
7;3;7;0.775126;0.252371
7;3;9;0.773071;0.237441
7;3;9;0.691627;0.237763
7;3;9;0.766608;0.181653
7;3;7;0.858928;0.268787
7;3;8;0.791513;0.21549
7;3;5;0.790451;0.302256
7;3;7;0.737413;0.243312
7;3;6;0.730747;0.212752
7;3;5;0.715879;0.226407
7;3;8;0.773526;0.28742
7;3;4;0.745787;0.240239
7;3;9;0.7652;0.336206
7;3;9;0.760152;0.128065
7;3;6;0.758005;0.236801
7;3;5;0.750309;0.211663
7;3;10;0.785972;0.258168
7;3;3;0.784007;0.201116
7;3;10;0.759746;0.292946
7;3;5;0.693057;0.225776
7;3;8;0.778206;0.301482
7;3;5;0.872739;0.208873
7;3;5;0.727411;0.236306
7;3;4;0.808075;0.242972
7;3;7;0.814266;0.242193
7;3;7;0.793626;0.28339
