N;K;peaks;maxValue;minValue
7;4;11;0.736986;0.267144
7;4;10;0.716942;0.248622
7;4;8;0.706577;0.201921
7;4;9;0.838769;0.203404
7;4;8;0.721502;0.176661
7;4;9;0.817503;0.281213
7;4;10;0.841144;0.272178
7;4;8;0.777138;0.302378
7;4;11;0.746488;0.268957
7;4;9;0.716872;0.254445
7;4;7;0.721479;0.215256
7;4;9;0.790442;0.232057
7;4;13;0.798823;0.172347
7;4;10;0.713005;0.311397
7;4;11;0.721949;0.257388
7;4;10;0.800002;0.279758
7;4;11;0.762116;0.237738
7;4;11;0.781826;0.186
7;4;14;0.792704;0.28061
7;4;11;0.787519;0.268931
7;4;8;0.78695;0.259109
7;4;9;0.684462;0.222448
7;4;12;0.745642;0.289197
7;4;12;0.706918;0.213971
7;4;8;0.735863;0.247129
7;4;8;0.800626;0.217857
7;4;11;0.747171;0.237024
7;4;12;0.779647;0.186076
7;4;7;0.776265;0.159365
7;4;10;0.744161;0.199321
7;4;11;0.757158;0.302958
7;4;11;0.769776;0.201522
7;4;9;0.734233;0.218527
7;4;9;0.767665;0.217943
7;4;9;0.779294;0.220401
7;4;10;0.720251;0.239872
7;4;11;0.731324;0.207599
7;4;8;0.855441;0.275746
7;4;12;0.762741;0.224255
7;4;5;0.763753;0.255347
7;4;11;0.742733;0.240485
7;4;9;0.797046;0.15743
7;4;9;0.806168;0.230216
7;4;11;0.745056;0.172389
7;4;8;0.775577;0.239858
7;4;7;0.718956;0.19133
7;4;10;0.790244;0.226081
7;4;8;0.734128;0.159392
7;4;8;0.752753;0.292368
7;4;6;0.76488;0.178643
7;4;9;0.723743;0.213009
7;4;11;0.7853;0.266288
7;4;7;0.756576;0.218227
7;4;7;0.740817;0.232988
7;4;10;0.858034;0.245156
7;4;10;0.77388;0.179426
7;4;8;0.728608;0.17427
7;4;10;0.69193;0.30545
7;4;12;0.720739;0.214333
7;4;7;0.751268;0.215869
7;4;11;0.684843;0.275735
7;4;8;0.844611;0.221138
7;4;12;0.704625;0.237233
7;4;10;0.849392;0.236
7;4;12;0.650776;0.264999
7;4;8;0.781725;0.284874
7;4;4;0.762074;0.182555
7;4;6;0.854774;0.227647
7;4;11;0.769661;0.216115
7;4;10;0.792221;0.251666
7;4;9;0.789347;0.209889
7;4;9;0.770996;0.218758
7;4;8;0.794137;0.194947
7;4;10;0.813025;0.172735
7;4;9;0.799866;0.221934
7;4;11;0.76859;0.227739
7;4;9;0.81637;0.202474
7;4;9;0.767596;0.284205
7;4;11;0.767721;0.22995
7;4;8;0.737031;0.24665
7;4;8;0.79466;0.189989
7;4;12;0.717903;0.240548
7;4;9;0.715129;0.212908
7;4;7;0.780754;0.292838
7;4;8;0.799649;0.152978
7;4;6;0.769451;0.254432
7;4;7;0.702926;0.206907
7;4;10;0.723286;0.291875
7;4;9;0.74772;0.199261
7;4;10;0.790755;0.142066
7;4;6;0.757997;0.274622
7;4;10;0.746411;0.214066
7;4;13;0.699119;0.205659
7;4;9;0.760962;0.211891
7;4;7;0.762884;0.198344
7;4;10;0.787703;0.201872
7;4;9;0.723242;0.162702
7;4;6;0.730682;0.247272
7;4;13;0.701482;0.258235
7;4;11;0.778232;0.174154
7;4;9;0.763016;0.230024
7;4;10;0.741693;0.121948
7;4;9;0.744469;0.247403
7;4;6;0.689241;0.206959
7;4;11;0.787358;0.275896
7;4;8;0.803584;0.233212
7;4;7;0.809596;0.287118
7;4;8;0.770941;0.311595
7;4;10;0.800341;0.28854
7;4;11;0.739613;0.181974
7;4;6;0.747419;0.269924
7;4;11;0.828178;0.203819
7;4;8;0.758313;0.171926
7;4;10;0.741709;0.242929
7;4;8;0.756368;0.208207
7;4;9;0.743659;0.135568
7;4;8;0.744337;0.277908
7;4;9;0.718906;0.228985
7;4;6;0.797486;0.229809
7;4;8;0.831883;0.301453
7;4;9;0.779496;0.152932
7;4;10;0.763259;0.17438
7;4;7;0.92249;0.304969
7;4;7;0.806723;0.269124
7;4;11;0.701129;0.187047
7;4;10;0.755646;0.28499
7;4;13;0.777259;0.179123
7;4;13;0.769405;0.268782
7;4;10;0.867359;0.227778
7;4;8;0.712235;0.229027
7;4;11;0.770551;0.230173
7;4;6;0.717481;0.298856
7;4;11;0.74238;0.192565
7;4;11;0.742751;0.221904
7;4;11;0.783681;0.285563
7;4;6;0.783107;0.254068
7;4;13;0.765377;0.262998
7;4;6;0.760315;0.233246
7;4;4;0.805575;0.284806
7;4;9;0.662335;0.249455
7;4;13;0.797369;0.21794
7;4;9;0.777883;0.213239
7;4;14;0.740917;0.229692
7;4;9;0.784958;0.273095
7;4;10;0.782418;0.219826
7;4;12;0.786117;0.255862
7;4;11;0.798446;0.252982
7;4;11;0.74204;0.265603
7;4;7;0.761278;0.200801
7;4;9;0.762295;0.176988
7;4;6;0.764523;0.286632
7;4;8;0.722395;0.171069
7;4;9;0.744083;0.197651
7;4;9;0.716971;0.144112
7;4;9;0.74291;0.0920824
7;4;11;0.760676;0.279016
7;4;9;0.699771;0.263859
7;4;6;0.761201;0.189094
7;4;10;0.878426;0.176405
7;4;11;0.749728;0.285286
7;4;4;0.785804;0.251937
7;4;8;0.753572;0.208527
7;4;10;0.786558;0.274352
7;4;12;0.777308;0.209686
7;4;9;0.732621;0.242477
7;4;8;0.78782;0.251608
7;4;9;0.763506;0.257868
7;4;10;0.789678;0.298876
7;4;10;0.755191;0.250621
7;4;10;0.779149;0.22129
7;4;8;0.779132;0.188626
7;4;9;0.758711;0.132968
7;4;10;0.771257;0.240128
7;4;12;0.786801;0.229407
7;4;10;0.807872;0.263624
7;4;10;0.791547;0.225382
7;4;8;0.790625;0.222029
7;4;9;0.751646;0.273189
7;4;10;0.731588;0.244174
7;4;9;0.763068;0.198945
7;4;8;0.754648;0.227632
7;4;10;0.726957;0.260293
7;4;9;0.749227;0.251585
7;4;13;0.752637;0.235605
7;4;8;0.751904;0.18153
7;4;11;0.688339;0.211648
7;4;9;0.803291;0.212289
7;4;8;0.736084;0.174811
7;4;12;0.727352;0.225081
7;4;14;0.732716;0.190841
7;4;9;0.795258;0.320446
7;4;9;0.819112;0.260649
7;4;13;0.731091;0.188683
7;4;9;0.724915;0.182748
7;4;9;0.727548;0.151123
7;4;8;0.735584;0.229866
7;4;5;0.77461;0.213805
7;4;11;0.764814;0.249963
7;4;9;0.731748;0.240679
7;4;8;0.79121;0.196416
7;4;11;0.780551;0.304215
7;4;11;0.80192;0.265221
7;4;7;0.746235;0.223498
7;4;9;0.751355;0.18034
7;4;6;0.775308;0.27271
7;4;11;0.790632;0.275276
7;4;8;0.863013;0.229274
7;4;11;0.772256;0.232422
7;4;11;0.775765;0.21564
7;4;7;0.757977;0.222193
7;4;6;0.793626;0.211967
7;4;6;0.774831;0.257581
7;4;10;0.790144;0.165282
7;4;8;0.758601;0.34307
7;4;10;0.730113;0.129108
7;4;7;0.789266;0.247692
7;4;11;0.846901;0.155139
7;4;6;0.769094;0.237027
7;4;9;0.757352;0.309697
7;4;7;0.706614;0.233822
7;4;10;0.797522;0.222766
7;4;8;0.78078;0.327458
7;4;12;0.782847;0.209648
7;4;12;0.741926;0.208602
7;4;11;0.705265;0.241415
7;4;8;0.826632;0.304223
7;4;13;0.699713;0.144881
7;4;11;0.713745;0.242365
7;4;8;0.766732;0.182729
7;4;11;0.690934;0.26274
7;4;9;0.719568;0.231246
7;4;11;0.748895;0.294276
7;4;6;0.742684;0.217768
7;4;6;0.874563;0.248417
7;4;7;0.73063;0.266885
7;4;9;0.80267;0.240153
7;4;7;0.784493;0.23615
7;4;8;0.812134;0.228109
7;4;7;0.832907;0.218214
7;4;7;0.775036;0.157916
7;4;8;0.787007;0.255896
7;4;9;0.821842;0.229919
7;4;11;0.762725;0.236704
7;4;11;0.675114;0.206292
7;4;10;0.777994;0.227785
7;4;9;0.845021;0.227043
7;4;7;0.804548;0.232337
7;4;8;0.788623;0.181549
7;4;8;0.781171;0.284364
7;4;8;0.77551;0.171476
7;4;10;0.745047;0.269831
7;4;8;0.772047;0.218037
7;4;7;0.785839;0.2374
7;4;10;0.786532;0.206641
